,train,validation,test
Accuracy,0.6267555555555555,0.6206,0.5145
Clase,"['Avión', 'Coche', 'Pájaro', 'Gato', 'Ciervo', 'Perro', 'Rana', 'Caballo', 'Barco', 'Camión']","['Avión', 'Coche', 'Pájaro', 'Gato', 'Ciervo', 'Perro', 'Rana', 'Caballo', 'Barco', 'Camión']","['Avión', 'Coche', 'Pájaro', 'Gato', 'Ciervo', 'Perro', 'Rana', 'Caballo', 'Barco', 'Camión']"
Precision,"[0.55675583 0.72753367 0.59258095 0.48916215 0.6573857  0.566428
 0.65142976 0.66135539 0.73213886 0.64259928]","[0.52887538 0.74953959 0.59487179 0.45454545 0.64130435 0.60552764
 0.64190476 0.63913824 0.71101871 0.65156794]","[0.50114943 0.63505155 0.45868946 0.35130112 0.50812408 0.44173141
 0.54570896 0.54445463 0.6399177  0.51215559]"
Recall,"[0.71963652 0.73418004 0.42188899 0.51821594 0.49525282 0.47614802
 0.6946361  0.72866667 0.72709075 0.75172261]","[0.71311475 0.79492188 0.43609023 0.48832272 0.50106157 0.4688716
 0.66469428 0.712      0.67857143 0.74650699]",[0.654 0.616 0.322 0.378 0.344 0.398 0.585 0.594 0.622 0.632]
F1-Score,"[0.62780356 0.73084174 0.49287489 0.50327008 0.56491626 0.51737919
 0.67233951 0.69338126 0.72960607 0.6928908 ]","[0.60732984 0.77156398 0.5032538  0.47082907 0.56257449 0.52850877
 0.65310078 0.67360454 0.69441624 0.69581395]","[0.56746204 0.62538071 0.37837838 0.36416185 0.41025641 0.41872699
 0.56467181 0.56814921 0.63083164 0.56580125]"
Cantidad,[4512 4488 4468 4529 4529 4486 4493 4500 4496 4499],[488 512 532 471 471 514 507 500 504 501],[1000 1000 1000 1000 1000 1000 1000 1000 1000 1000]
