,train,validation,test
Accuracy,0.6852444444444444,0.6814,0.6201
Clase,"['Avión', 'Coche', 'Pájaro', 'Gato', 'Ciervo', 'Perro', 'Rana', 'Caballo', 'Barco', 'Camión']","['Avión', 'Coche', 'Pájaro', 'Gato', 'Ciervo', 'Perro', 'Rana', 'Caballo', 'Barco', 'Camión']","['Avión', 'Coche', 'Pájaro', 'Gato', 'Ciervo', 'Perro', 'Rana', 'Caballo', 'Barco', 'Camión']"
Precision,"[0.73968105 0.76428721 0.58836634 0.5530388  0.63241646 0.63712121
 0.71733772 0.6682804  0.7426795  0.79279941]","[0.75796178 0.74363636 0.61054767 0.51708428 0.62212944 0.62895928
 0.75       0.63356164 0.76679104 0.75324675]","[0.66457023 0.71483622 0.50054526 0.44985104 0.57805907 0.54078212
 0.68755677 0.62653779 0.68533333 0.72976055]"
Recall,"[0.69902482 0.81350267 0.53200537 0.54449106 0.61426363 0.56241641
 0.77720899 0.76688889 0.823621   0.71949322]","[0.73155738 0.79882812 0.56578947 0.48195329 0.63269639 0.54085603
 0.80473373 0.74       0.81547619 0.69461078]",[0.634 0.742 0.459 0.453 0.548 0.484 0.757 0.713 0.771 0.64 ]
F1-Score,"[0.71877849 0.78812736 0.55876822 0.54873164 0.62320789 0.59744258
 0.74607414 0.71419702 0.78105885 0.75436961]","[0.74452555 0.77024482 0.58731707 0.4989011  0.62736842 0.58158996
 0.77640343 0.68265683 0.79038462 0.72274143]","[0.64892528 0.72816487 0.47887324 0.45142003 0.56262834 0.51081794
 0.72060923 0.66697848 0.72564706 0.68193926]"
Cantidad,[4512 4488 4468 4529 4529 4486 4493 4500 4496 4499],[488 512 532 471 471 514 507 500 504 501],[1000 1000 1000 1000 1000 1000 1000 1000 1000 1000]
