,Accuracy,Clase,Precision,Recall,F1-Score,Cantidad
0,0.6852444444444444,Avión,0.7396810506566605,0.6990248226950354,0.7187784867821331,4512
1,0.6852444444444444,Coche,0.76428720954574,0.8135026737967914,0.7881273610361575,4488
2,0.6852444444444444,Pájaro,0.5883663366336633,0.5320053715308863,0.5587682181476258,4468
3,0.6852444444444444,Gato,0.5530387979367571,0.5444910576286156,0.5487316421895861,4529
4,0.6852444444444444,Ciervo,0.632416458285974,0.6142636343563701,0.6232078853046595,4529
5,0.6852444444444444,Perro,0.6371212121212121,0.5624164065983058,0.5974425763675113,4486
6,0.6852444444444444,Rana,0.7173377156943304,0.7772089917649677,0.7460741373784852,4493
7,0.6852444444444444,Caballo,0.6682804027885361,0.7668888888888888,0.7141970198675497,4500
8,0.6852444444444444,Barco,0.7426795026073004,0.8236209964412812,0.7810588483442312,4496
9,0.6852444444444444,Camión,0.7927994121969141,0.7194932207157146,0.7543696108133302,4499
