,Accuracy,Clase,Precision,Recall,F1-Score,Cantidad
0,0.7962,Avión,0.8224485277839274,0.8233599290780141,0.822903976077085,4512
1,0.7962,Coche,0.8673245614035088,0.8812388591800356,0.8742263483642794,4488
2,0.7962,Pájaro,0.7166175470414872,0.7074753804834378,0.7120171190449375,4468
3,0.7962,Gato,0.6779876883888771,0.7052329432545816,0.6913419913419914,4529
4,0.7962,Ciervo,0.7629067245119305,0.7765511150364319,0.7696684538789802,4529
5,0.7962,Perro,0.7266545784224842,0.7146678555506019,0.7206113733423242,4486
6,0.7962,Rana,0.8381992422554045,0.8370799020698865,0.8376391982182628,4493
7,0.7962,Caballo,0.8050369083803735,0.824,0.8144080825829124,4500
8,0.7962,Barco,0.8850496838301717,0.8716637010676157,0.8783056925145675,4496
9,0.7962,Camión,0.8673085955847816,0.8208490775727939,0.8434395340870161,4499
